itemID,quantity,absHour,price,studGroup,tID,rating
2,1,17,8.0,F3,1,3
2,1,17,8.0,F0,1,4
2,1,17,8.0,F2,1,3
2,2,17,8.0,F3,1,5
2,2,17,8.0,F4,1,3
2,2,17,8.0,F2,1,2
2,2,17,8.0,F4,1,2
2,2,17,8.0,F3,1,1
2,2,17,8.0,F3,2,2
2,2,17,8.0,F3,1,3
2,2,17,8.0,F2,1,2
2,2,17,8.0,F2,1,4
2,3,17,8.0,F3,1,2
2,4,17,8.0,F3,1,2
2,4,17,8.0,F2,1,5
14,2,17,10.0,F4,3,5
25,2,18,10.0,F1,1,3
26,1,17,5.0,F2,1,3
26,1,17,5.0,F2,3,2
26,2,17,5.0,F3,2,2
46,7,16,18.0,B1,4,3
74,1,17,25.0,F2,1,2
76,1,17,30.0,F4,1,1
76,1,17,30.0,F3,1,3
76,1,17,30.0,F3,2,3
76,5,16,30.0,B1,1,3
93,1,17,32.0,F2,2,5
108,1,17,20.0,F2,1,3
108,1,17,20.0,F4,2,2
108,3,17,20.0,F2,1,1
108,8,16,20.0,B1,2,4
123,1,17,8.0,F2,1,4
123,1,17,8.0,F4,4,4
123,1,17,8.0,F3,2,2
123,1,17,8.0,F4,2,1
123,1,17,8.0,F3,2,3
123,1,17,8.0,F3,1,3
123,1,17,8.0,F0,2,3
123,1,17,8.0,F3,2,5
123,1,17,8.0,F2,2,2
123,1,17,8.0,F2,2,3
123,2,17,8.0,F2,1,5
123,2,17,8.0,F2,1,2
128,1,16,25.0,B1,6,4
134,1,16,15.0,B1,5,2
154,3,16,22.0,B1,7,5
163,1,17,20.0,F3,1,2
169,1,17,25.0,F3,3,3
169,1,17,25.0,F1,1,4
169,1,17,25.0,F3,4,5
169,5,16,25.0,B1,3,2
171,1,17,20.0,F2,1,1
176,1,17,30.0,F2,2,1
2,1,17,8.0,F2,1,4
2,1,17,8.0,F2,1,3
2,1,17,8.0,F3,1,2
2,1,17,8.0,F2,1,2
2,1,17,8.0,F4,1,2
2,1,17,8.0,F4,3,2
2,1,17,8.0,F2,2,2
2,1,17,8.0,F2,1,3
2,2,17,8.0,F4,1,2
2,2,17,8.0,F3,1,2
2,2,17,8.0,F3,1,4
2,2,17,8.0,F2,1,3
2,2,17,8.0,F2,1,3
2,2,17,8.0,F1,1,2
2,2,17,8.0,F3,1,3
2,2,17,8.0,F2,1,2
2,2,17,8.0,F2,1,4
2,2,17,8.0,F2,1,4
2,3,17,8.0,F2,1,1
2,3,17,8.0,F1,1,2
