"('F1243', 7)","['18', '76', '187']"
"('H1080', 1)",['134']
"('H2093', 6)","['135', '154']"
"('F2158', 12)",['107']
"('F3639', 4)","['128', '134']"
"('F2141', 2)",['134']
"('F3432', 4)","['151', '164']"
"('F3810', 1)",['130']
"('F2060', 13)","['128', '160', '169']"
"('F2662', 5)",['141']
"('F2533', 1)",['108']
"('F3713', 13)","['128', '76', '1']"
"('F1395', 3)",['130']
"('F2044', 2)",['169']
"('F2301', 1)","['1', '123', '134']"
"('F1732', 10)","['15', '18', '21', '21']"
"('F4697', 1)","['151', '156', '22', '175']"
"('F2770', 8)","['2', '188']"
"('F3683', 6)",['107']
"('F4824', 1)","['19', '108', '142', '19', '76', '108', '154']"
"('F1031', 1)","['130', '151', '93', '154']"
"('F2132', 7)",['138']
"('F4629', 1)","['26', '142']"
"('F3794', 10)","['132', '154']"
"('F1248', 2)","['2', '170']"
"('H1256', 4)","['12', '128']"
"('F4268', 7)",['76']
"('F3842', 8)","['1', '123', '160', '15']"
"('F3324', 1)","['22', '108', '134']"
"('F2089', 7)","['124', '93']"
"('F5854', 1)","['76', '146', '151', '154', '164', '151']"
"('F2696', 1)","['107', '124']"
"('F2613', 13)","['128', '169']"
"('F2495', 1)","['1', '128', '128', '154', '128']"
"('F3022', 10)",['160']
"('F1591', 6)","['134', '129']"
"('F3191', 7)",['154']
"('F2435', 13)",['130']
"('F3242', 2)","['134', '12']"
"('F1359', 1)",['128']
"('F3735', 15)","['128', '154', '138']"
"('F3463', 8)","['107', '154', '128', '154']"
"('F0000', 76)","['130', '107', '130', '12', '139', '154', '128', '130', '76', '135', '48', '169']"
"('F1340', 2)",['155']
"('F2075', 10)","['2', '188', '26', '26']"
"('F4847', 1)",['124']
"('F3196', 12)",['169']
"('F2166', 4)",['2']
"('F2436', 10)",['130']
"('F1124', 1)",['154']
"('F3667', 13)",['128']
"('F2411', 1)",['128']
"('F4589', 4)",['168']
"('F2286', 2)","['15', '76', '187', '138']"
"('F3164', 4)","['128', '169']"
"('F1411', 10)","['25', '128']"
"('F1520', 7)",['2']
"('F1779', 20)","['130', '134', '160', '169']"
"('F1383', 1)",['135']
"('F1247', 1)","['146', '151']"
"('H2073', 2)","['148', '151']"
"('F2052', 22)","['146', '151', '93']"
"('F4507', 6)",['140']
"('F4673', 3)",['129']
"('F4430', 5)",['138']
"('F2621', 3)",['128']
"('F5640', 3)","['130', '188']"
"('F4544', 12)","['130', '198', '21', '139']"
"('F2297', 13)",['21']
"('F1336', 5)",['14']
"('F4497', 7)",['128']
"('F3077', 6)","['146', '151', '142']"
"('H2137', 10)",['130']
"('F3437', 2)","['108', '151', '164']"
"('F1030', 2)",['132']
"('F3585', 10)","['135', '21', '154']"
"('F1617', 1)","['134', '134', '140', '169']"
"('F2638', 4)","['2', '169']"
"('F4263', 9)","['151', '177', '93']"
"('F2641', 6)",['140']
"('F2258', 13)",['76']
"('F2325', 3)","['148', '151', '154']"
"('F4529', 7)","['1', '142', '50']"
"('F3612', 15)",['178']
