"('F4757', 6)","['12', '128', '154']"
"('F2618', 4)",['123']
"('F3663', 2)","['132', '134', '151', '164', '166', '155', '154', '21']"
"('F0000', 24)","['148', '140', '134', '135', '130', '15', '130', '135', '134', '129', '155', '128', '130', '154', '128', '128', '161', '128', '130', '134', '154', '155', '163', '148', '161', '155', '154', '16', '107', '134', '140', '159', '16', '16', '140', '161', '156', '154', '154', '134', '134', '134', '135', '128', '156', '133', '16', '134', '163', '134', '128', '156', '163', '12', '128', '15', '161', '128', '12', '160', '163', '161', '156', '154', '134', '128', '140', '148', '12', '161', '148', '154', '148', '151', '134', '154', '12', '159', '154', '161', '128', '161', '51', '128', '128', '135', '154', '154', '155', '159', '134', '157', '154', '161', '146', '151', '128', '154', '128', '134', '155', '16', '140', '134', '134', '134', '12', '128', '134', '161', '155', '135', '16', '128', '128', '135', '139', '156', '140', '135']"
"('F3275', 1)","['154', '161']"
"('F5494', 6)","['46', '129', '146', '168']"
"('F2549', 1)","['128', '155']"
"('F4108', 10)","['138', '151', '164', '26', '169']"
"('F3605', 4)","['146', '148', '151', '151', '164', '155', '154']"
"('F3764', 7)",['156']
"('F3696', 8)","['151', '164']"
"('F1106', 2)","['128', '156']"
"('F4543', 3)",['154']
"('F1253', 1)","['134', '2']"
"('F3612', 12)","['129', '154', '155']"
"('F3224', 3)","['154', '154', '128', '154']"
"('F3440', 3)","['12', '151', '155', '19']"
"('F3698', 3)","['46', '51']"
"('F2357', 8)",['26']
"('F3219', 5)","['124', '154']"
"('F2468', 7)",['138']
"('F2063', 1)","['154', '156', '169']"
"('F3313', 2)",['161']
"('F1180', 2)","['146', '151', '156']"
"('F2801', 7)","['2', '169']"
"('F2104', 3)","['128', '154']"
"('F3864', 1)","['15', '18', '15']"
"('F5165', 5)",['134']
"('F3344', 2)","['151', '166', '25', '107']"
"('F2224', 2)",['138']
"('F4032', 5)","['14', '107', '154']"
"('H2214', 1)","['148', '151']"
"('F2377', 4)","['21', '156', '154']"
"('F3523', 1)",['148']
"('F2169', 2)",['148']
"('F2334', 1)","['134', '161']"
"('F2269', 4)","['151', '155']"
"('F4694', 1)","['167', '146', '151', '74']"
"('F3067', 1)","['128', '154']"
"('F3502', 4)","['133', '154']"
"('F3846', 2)","['140', '156']"
"('F2859', 2)","['135', '134', '138']"
"('F3294', 2)",['155']
"('F4678', 13)",['107']
"('F4503', 2)","['130', '134', '139', '154']"
"('F4046', 12)","['146', '151', '155']"
"('F2903', 1)","['128', '154', '159']"
"('F2427', 1)","['151', '164', '155', '155', '123']"
"('F3288', 1)","['130', '157']"
"('F3310', 4)","['124', '130']"
"('F1568', 1)","['148', '155']"
"('F2091', 4)","['128', '128', '154', '148', '26', '159']"
"('F4282', 1)",['128']
"('F3895', 1)","['148', '12', '134', '140', '154']"
"('F3505', 1)","['51', '107', '156']"
"('F2532', 2)","['140', '154', '158', '16']"
"('F2751', 2)","['140', '159']"
"('F4367', 2)","['128', '161']"
"('F3459', 6)","['14', '107', '160']"
"('F2366', 2)",['107']
"('F1688', 1)","['151', '154', '151', '154']"
"('F3053', 7)","['128', '170', '15', '107']"
"('F4051', 4)","['12', '130', '155', '161', '156']"
"('F3043', 3)","['138', '155', '138']"
"('F1345', 1)",['154']
"('F4587', 8)","['14', '134', '163', '174']"
"('F3380', 8)","['130', '169', '167']"
"('F4584', 5)","['154', '155']"
"('F4284', 1)",['164']
"('F2257', 6)","['138', '161']"
"('F2856', 9)","['128', '135', '148', '148', '148', '148', '151', '154', '166', '156', '156', '135', '148', '148', '156', '166', '170', '154', '148', '151', '164', '128', '154', '157', '157']"
"('F3239', 4)","['148', '155', '148', '14', '18', '155', '161']"
"('F3265', 2)","['124', '154', '156', '169']"
"('F3680', 3)","['46', '51', '156', '168']"
"('F5785', 5)","['46', '107']"
"('F2259', 5)",['154']
"('F2282', 8)","['151', '164', '169', '14', '159']"
"('F2385', 3)","['46', '154']"
"('F4363', 1)","['128', '135', '46', '167']"
"('F4159', 5)",['161']
"('F2922', 6)",['124']
"('F3402', 1)",['134']
"('F4290', 11)","['138', '156']"
"('F3423', 11)","['155', '154']"
"('F4731', 5)","['156', '160']"
"('F2166', 1)",['134']
"('F2821', 9)","['155', '135', '154']"
"('F2664', 7)","['161', '133', '155', '161']"
"('F3642', 2)","['4', '135']"
"('F5707', 1)",['12']
"('F3426', 1)","['154', '155']"
"('F3740', 6)","['155', '151', '19', '161']"
"('F4687', 2)",['154']
"('F2057', 4)","['151', '164', '155', '154', '162']"
"('F3231', 3)",['128']
"('F3421', 3)",['161']
"('F0000', 38)","['155', '2', '2', '2', '123', '2', '2', '2', '2']"
"('F3276', 3)",['123']
"('F2231', 3)",['138']
"('F4177', 1)","['134', '156', '167']"
"('F2025', 4)",['12']
"('F1306', 1)",['156']
"('F2654', 6)","['136', '154']"
"('F3446', 1)","['146', '151', '155']"
"('F4123', 2)","['151', '164', '155']"
"('F3528', 1)","['128', '51']"
"('F2802', 1)",['161']
"('F3594', 4)","['128', '154', '159']"
"('F3259', 12)","['124', '136', '138', '156']"
"('F4299', 2)","['134', '163', '161']"
"('F2808', 2)","['123', '169']"
"('F2626', 1)","['12', '170']"
"('F4721', 7)","['129', '51', '156']"
"('F3296', 1)",['154']
"('F3599', 8)",['156']
"('F2022', 6)","['130', '159']"
"('F4803', 11)",['130']
"('F2275', 10)","['154', '128', '135', '138', '155', '157']"
"('F4286', 4)","['108', '151', '164', '155', '124', '155', '160']"
"('F4251', 6)","['12', '155']"
"('F3358', 5)",['124']
"('F2033', 2)","['132', '134', '26']"
"('F1322', 1)","['148', '151', '151', '154', '159']"
"('F4052', 6)","['139', '155', '15', '26', '167']"
"('F2211', 1)","['107', '107', '50']"
"('F4033', 4)","['51', '128', '156', '169']"
"('F3652', 4)",['156']
"('F3461', 5)",['128']
"('F4163', 1)",['155']
"('F3359', 3)","['15', '154']"
"('F4147', 12)","['130', '151', '164', '163', '151']"
"('F3366', 1)","['135', '16', '51', '107', '107']"
"('F3055', 9)",['155']
"('F4716', 4)","['124', '138', '154']"
"('F2351', 2)",['154']
"('F5371', 5)",['138']
"('F2399', 6)","['155', '157', '154', '161']"
"('F3304', 3)","['138', '154', '156', '154']"
"('F3871', 12)","['25', '155', '26', '15']"
"('F3514', 1)","['107', '154']"
"('F4442', 3)","['108', '155']"
"('F4274', 1)","['151', '155']"
"('F2774', 1)","['156', '166', '151', '164']"
"('F3249', 1)","['154', '161', '107']"
"('F4085', 1)","['135', '167']"
"('F2206', 4)","['124', '138', '154', '169']"
"('F3463', 1)","['148', '151', '154', '161', '164', '154']"
"('F2515', 2)",['169']
"('F2774', 6)","['164', '155', '156', '161', '161']"
"('F2515', 1)","['151', '164', '124']"
"('F4225', 2)","['123', '124', '140', '155', '135']"
"('F2728', 4)","['128', '154', '25', '160', '128', '154', '154', '14', '128', '128', '128', '154', '161', '134', '148', '155', '155', '146', '151', '155', '138', '154', '154', '155', '156', '128', '128', '155', '138', '154', '154', '161', '128', '138', '154', '155', '51', '156', '135', '154', '15', '154', '155', '154', '12', '154', '155', '12']"
"('F1094', 3)","['12', '155']"
"('H1265', 6)","['130', '133']"
"('F3570', 11)",['129']
"('F4530', 2)","['12', '19', '154', '161']"
"('F2115', 2)","['134', '139', '151', '164', '21']"
"('F3398', 4)","['128', '155', '128']"
"('F4702', 4)","['128', '155', '163']"
"('F2415', 2)","['134', '161', '161']"
"('F4139', 7)","['12', '140', '154', '155']"
"('F3146', 1)",['154']
"('F5523', 8)",['12']
"('F2581', 2)","['12', '51']"
"('F2126', 1)","['128', '154', '161']"
"('F5560', 9)",['161']
"('F3081', 8)",['123']
"('F4374', 1)","['133', '146', '151', '151']"
"('F4684', 6)","['151', '164', '151']"
"('F2559', 2)","['161', '162']"
"('F4297', 15)","['25', '155']"
"('F2769', 6)","['138', '154']"
"('F2494', 11)",['139']
"('F1197', 1)","['123', '156', '148', '151', '156', '164', '161']"
"('F3756', 13)","['12', '12', '154']"
"('F0000', 52)","['154', '155', '128', '129', '148', '154', '129', '138', '161', '19', '12', '128', '154', '155', '161', '161', '128', '154', '146', '151', '151', '155', '154', '138', '140', '148', '148', '161']"
"('F1333', 1)","['130', '168']"
"('F2513', 7)",['156']
"('F2679', 10)","['161', '170']"
"('F2697', 4)","['128', '155', '156', '151']"
"('F4290', 5)","['26', '107', '169']"
"('F2098', 11)","['130', '156']"
"('F4370', 1)","['130', '167']"
"('F3496', 2)","['128', '170', '171', '128']"
"('F3607', 6)","['128', '154']"
"('F3486', 1)","['146', '151', '156']"
"('F4364', 1)",['107']
"('F2677', 1)","['134', '128', '123']"
"('F3863', 8)",['159']
"('F2110', 4)","['15', '128', '154', '155']"
"('F3283', 2)",['162']
"('F2412', 5)","['107', '130', '154']"
"('F3599', 5)",['123']
"('F3039', 4)",['74']
"('F2239', 7)",['161']
