"('F4409', 7)","['154', '169', '134']"
"('F1696', 8)","['135', '169']"
"('F3741', 1)","['12', '140', '142', '154', '161', '128']"
"('F2032', 11)","['134', '154']"
"('F3727', 3)",['159']
"('F3849', 17)","['138', '142', '169']"
"('F2128', 6)","['12', '22', '154']"
"('F2296', 16)","['2', '123', '187', '93']"
"('F2334', 4)","['151', '164']"
"('F3857', 10)","['128', '169']"
"('F3652', 1)","['151', '188']"
"('F2035', 3)","['25', '154']"
"('F2772', 7)","['2', '2', '14', '108']"
"('F2297', 2)","['2', '2', '169']"
"('F2004', 8)",['142']
"('H1185', 5)",['128']
"('F3193', 3)",['142']
"('F1366', 6)",['169']
"('F4353', 2)","['76', '168']"
"('F5584', 13)","['1', '134', '155']"
"('F2540', 8)","['169', '134', '134', '154']"
"('F2484', 5)","['128', '128']"
"('F5551', 3)","['151', '76']"
"('F2412', 13)","['129', '154', '175']"
"('F3424', 13)",['74']
"('F1425', 9)",['155']
"('F4524', 2)",['142']
"('F3698', 7)",['74']
"('F2509', 12)","['154', '154', '76']"
"('F3875', 15)",['76']
"('F6725', 1)",['12']
"('F2520', 14)","['128', '154']"
"('F2067', 3)",['156']
"('F4323', 1)","['100', '128', '138', '161', '173']"
"('F2047', 8)","['2', '26']"
"('F4381', 4)",['15']
"('F2793', 17)","['142', '182']"
"('F2634', 2)","['134', '128', '18', '128']"
"('F2179', 3)","['178', '189', '189']"
"('F3835', 17)","['146', '151', '154']"
"('F3574', 12)",['146']
"('F1756', 5)",['154']
"('F3386', 2)","['139', '187', '169']"
"('F1474', 1)","['130', '169', '25']"
"('F2937', 7)","['135', '154']"
"('F3188', 4)","['2', '26', '123', '169']"
"('F4210', 1)","['128', '128', '146', '154', '169', '74', '25', '134', '151', '15', '21', '25', '169']"
"('F2586', 1)","['2', '2', '123']"
"('F3721', 4)","['134', '76', '176']"
"('F2165', 3)",['178']
"('F3394', 11)",['154']
"('H2099', 1)","['154', '187']"
"('F3707', 2)",['74']
"('F3391', 15)","['128', '156']"
"('F3001', 11)","['155', '169']"
