1,793,"['1', '1', '2', '1', '2', '1', '1', '1', '1', '1', '1', '2', '1', '2', '3']"
1,1523,"['1', '1', '1', '2', '1', '1', '2', '2', '1', '1', '2', '1', '2', '1', '1', '1', '1']"
2,338,['1']
3,299,['2']
3,1675,"['2', '1']"
2,183,"['1', '1', '1', '1']"
2,1065,['4']
2,460,"['1', '1', '2']"
3,492,['1']
4,1199,['1']
7,386,['1']
2,1995,"['2', '1']"
2,1158,"['1', '2', '2', '1']"
6,1234,['2']
3,1240,['2']
1,2015,"['1', '1', '1', '1', '1', '1', '2']"
2,1044,"['1', '1']"
2,1339,"['1', '2']"
3,61,['1']
1,829,"['1', '1', '1', '1', '1', '2', '1', '2', '3', '1', '2', '1', '2', '3', '1', '1', '1', '2', '3', '1', '1']"
3,2171,['1']
1,1012,"['1', '1', '1', '2', '1', '1', '1', '1', '1', '2', '2', '1', '1']"
1,185,"['1', '2', '1', '1', '2', '2', '3', '4', '2', '1', '2', '1', '1', '1']"
1,2107,"['1', '1', '1', '2']"
1,352,"['1', '1', '2', '1', '2', '1', '2', '1', '1', '2', '1', '2', '2', '1', '1', '1', '1']"
1,274,"['1', '1', '1', '1', '1', '3', '1', '1', '1', '2', '1', '1', '1']"
2,2051,['2']
4,1877,['1']
2,748,"['1', '2', '2', '1']"
1,31,"['1', '1', '2', '2', '1', '2', '1', '2', '1', '1']"
2,399,"['2', '1', '1', '2', '2']"
1,916,"['1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '2']"
1,1768,"['1', '2', '2', '1', '1', '1', '2', '3', '1', '1', '1', '2', '3', '1', '1', '1']"
1,1916,"['1', '1', '1', '1', '1', '2', '1', '1', '1', '1']"
2,696,['2']
1,1506,"['1', '1', '2', '3', '1', '1', '1', '1', '1', '2', '1', '2', '1', '1', '1']"
1,348,"['1', '1', '1', '1', '3', '1', '1', '2', '1', '1', '2', '1', '1']"
2,1777,"['1', '1']"
1,513,"['1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1']"
3,523,['1']
3,589,"['2', '2', '1']"
1,1961,"['1', '2', '1', '1', '2', '1', '1', '2', '1']"
2,1149,['1']
2,2256,['2']
1,2306,['1']
4,279,['1']
2,705,['3']
2,732,"['2', '1']"
1,1111,"['1', '2', '1', '1', '2', '1', '2', '1', '1', '1', '2', '1', '1', '1']"
5,778,['1']
5,1159,['1']
1,972,"['1', '1', '1', '1', '2', '3', '1', '1', '1', '1', '1', '2', '1', '1', '1']"
2,258,"['3', '1', '2']"
1,2163,"['1', '1', '2', '1', '1']"
1,1307,"['1', '2', '1', '2', '3', '5', '2', '1', '1', '1', '1', '1', '1', '1', '2', '1']"
2,717,['1']
2,2012,['1']
21,166,['1']
1,1989,"['1', '1', '1', '1', '1', '1', '1']"
