BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
6,164,1,2020-08-16 19:39:16,81.000000,"F0000",1,4
6,167,1,2020-08-28 17:12:43,10.000000,"F2115",2,3
7,2,1,2020-08-21 17:12:59,8.000000,"F3782",2,3
7,2,2,2020-08-20 17:26:39,8.000000,"F3318",1,2
7,2,2,2020-08-21 17:12:59,8.000000,"F3782",1,3
7,2,2,2020-08-22 17:18:13,8.000000,"F3196",1,3
7,21,1,2020-08-21 17:12:59,30.000000,"F3782",3,3
7,107,1,2020-08-15 20:08:58,10.000000,"F0000",1,4
7,107,1,2020-08-23 17:09:38,10.000000,"F4370",1,3
7,107,1,2020-08-27 17:15:46,10.000000,"F3406",1,3
7,123,1,2020-08-18 17:29:33,8.000000,"F3276",1,4
7,123,1,2020-08-19 17:12:43,8.000000,"F3252",1,5
7,123,2,2020-08-24 17:11:44,8.000000,"F0000",1,1
7,123,2,2020-08-25 17:16:54,8.000000,"F3055",1,2
7,123,2,2020-08-28 17:13:07,8.000000,"F4277",1,5
7,128,1,2020-08-14 20:00:42,25.000000,"F3612",4,4
7,128,2,2020-08-16 20:02:57,25.000000,"F0000",2,2
7,128,6,2020-08-14 20:00:42,25.000000,"F3612",1,3
7,130,6,2020-08-16 20:02:57,21.000000,"F0000",1,3
7,134,1,2020-08-11 20:34:02,15.000000,"F0000",1,2
7,134,1,2020-08-12 20:01:14,15.000000,"F0000",3,1
7,134,1,2020-08-12 20:01:14,15.000000,"F0000",5,1
7,140,1,2020-08-12 20:01:14,26.000000,"F0000",4,2
7,154,1,2020-08-14 20:00:42,22.000000,"F3612",5,4
7,155,1,2020-08-12 20:01:14,27.000000,"F0000",1,3
7,155,1,2020-08-17 17:52:18,27.000000,"F4046",2,5
7,155,1,2020-08-26 17:16:05,27.000000,"F3433",1,4
7,155,1,2020-08-27 17:15:46,27.000000,"F3406",4,4
7,155,2,2020-08-14 20:00:42,27.000000,"F3612",2,3
7,156,1,2020-08-12 20:01:14,30.000000,"F0000",2,5
7,157,2,2020-08-14 20:00:42,32.000000,"F3612",3,2
7,159,1,2020-08-29 17:25:23,20.000000,"F4382",1,5
7,160,1,2020-08-23 17:30:02,25.000000,"F3332",1,4
7,160,1,2020-08-27 17:15:46,25.000000,"F3406",2,3
7,164,1,2020-08-13 18:58:15,85.000000,"F0000",1,3
7,167,1,2020-08-27 17:15:46,10.000000,"F3406",3,5
7,168,1,2020-08-17 17:52:18,27.000000,"F4046",1,5
7,168,1,2020-08-26 17:16:05,27.000000,"F3433",2,4
8,2,1,2020-08-20 17:26:47,8.000000,"F3262",1,1
8,2,1,2020-08-21 17:13:04,8.000000,"F3700",1,3
8,16,1,2020-08-12 20:01:31,5.000000,"F0000",1,2
8,51,1,2020-08-23 17:31:38,15.000000,"F3096",2,3
8,107,1,2020-08-23 17:09:45,10.000000,"F4284",1,4
8,107,1,2020-08-29 17:25:32,10.000000,"F2059",1,4
8,107,2,2020-08-25 17:28:03,10.000000,"F3459",2,4
8,123,1,2020-08-18 17:29:51,8.000000,"F3764",1,3
8,123,1,2020-08-21 17:13:04,8.000000,"F3700",2,2
8,123,1,2020-08-22 17:18:19,8.000000,"F3196",1,2
8,123,2,2020-08-24 17:13:05,8.000000,"F0000",1,1
8,123,2,2020-08-28 17:13:14,8.000000,"F4486",1,2
8,128,3,2020-08-14 20:01:14,25.000000,"F3259",1,1
8,129,1,2020-08-15 20:10:49,16.000000,"F0000",1,2
8,130,1,2020-08-13 19:59:36,21.000000,"F0000",1,1
8,133,1,2020-08-15 20:10:49,21.000000,"F0000",2,2
8,136,2,2020-08-14 20:01:14,25.000000,"F3259",3,4
8,139,1,2020-08-16 20:03:26,21.000000,"F0000",1,1
8,148,1,2020-08-16 20:03:26,90.000000,"F0000",2,2
8,155,1,2020-08-17 17:52:26,27.000000,"F4268",1,1
8,156,1,2020-08-18 17:29:51,30.000000,"F3764",2,2
8,156,1,2020-08-25 17:28:03,30.000000,"F3459",3,3
8,156,1,2020-08-26 17:21:44,30.000000,"F3599",1,4
8,156,1,2020-08-29 17:25:32,30.000000,"F2059",2,4
8,157,1,2020-08-11 20:36:25,32.000000,"F0000",1,3
8,160,1,2020-08-17 17:52:26,25.000000,"F4268",2,4
8,160,1,2020-08-23 17:31:38,25.000000,"F3096",1,4
8,160,1,2020-08-27 17:16:11,25.000000,"F3538",1,3
8,160,2,2020-08-25 17:28:03,25.000000,"F3459",1,5
8,161,1,2020-08-14 20:01:14,12.000000,"F3259",2,3
9,2,2,2020-08-19 17:12:54,8.000000,"F3288",1,2
9,2,2,2020-08-20 17:27:01,8.000000,"F3326",1,3
9,2,2,2020-08-21 17:13:11,8.000000,"F3859",1,1
9,2,2,2020-08-22 17:18:25,8.000000,"F3270",1,2
9,107,1,2020-08-23 17:32:27,10.000000,"F2542",1,2
9,107,2,2020-08-17 17:53:13,10.000000,"F4486",1,4
9,107,2,2020-08-23 17:09:59,10.000000,"F2719",1,2
9,123,1,2020-08-20 17:27:01,8.000000,"F3326",2,2
9,123,1,2020-08-23 17:32:27,8.000000,"F2542",2,3
9,123,1,2020-08-27 17:18:01,8.000000,"F2528",1,4
9,123,1,2020-08-29 17:25:36,8.000000,"F2019",1,2
9,123,2,2020-08-22 17:18:25,8.000000,"F3270",2,4
9,123,2,2020-08-26 17:23:30,8.000000,"F4253",1,1
9,123,2,2020-08-28 17:13:50,8.000000,"F4268",1,2
9,130,1,2020-08-12 20:01:52,21.000000,"F0000",1,5
9,130,2,2020-08-13 20:00:02,21.000000,"F0000",1,3
9,134,1,2020-08-11 20:38:30,15.000000,"F0000",1,1
9,140,1,2020-08-11 20:38:30,26.000000,"F0000",2,3
9,148,8,2020-08-14 20:01:31,90.000000,"F3612",1,5
9,155,1,2020-08-11 20:38:30,27.000000,"F0000",3,5
9,155,1,2020-08-12 20:01:52,27.000000,"F0000",2,3
9,155,11,2020-08-25 17:30:16,27.000000,"F0000",1,1
9,156,1,2020-08-18 17:33:55,30.000000,"F2662",1,5
9,156,1,2020-08-26 17:23:30,30.000000,"F4253",2,1
9,157,2,2020-08-24 17:15:23,32.000000,"F2620",1,4
9,161,1,2020-08-15 20:12:36,12.000000,"F0000",1,2
9,162,1,2020-08-17 17:53:13,18.000000,"F4486",3,4
9,164,1,2020-08-16 20:03:37,81.000000,"F0000",1,5
9,167,2,2020-08-17 17:53:13,10.000000,"F4486",2,2
10,2,1,2020-08-19 17:12:58,8.000000,"F3270",1,1
10,2,1,2020-08-21 17:13:16,8.000000,"F3754",1,4
10,2,1,2020-08-22 17:20:16,8.000000,"F2021",1,1
10,2,2,2020-08-18 17:37:32,8.000000,"F2423",1,2
10,2,2,2020-08-20 17:27:14,8.000000,"F3326",1,3
10,12,2,2020-08-12 20:03:11,30.000000,"F0000",1,5
10,14,1,2020-08-25 17:30:44,10.000000,"F2456",1,5
10,46,1,2020-08-24 17:17:36,18.000000,"F3567",2,4
10,51,1,2020-08-27 17:19:00,15.000000,"F3742",3,3
10,107,2,2020-08-24 17:17:36,10.000000,"F3567",1,3
10,108,1,2020-08-28 17:14:23,20.000000,"F4147",2,5
10,123,1,2020-08-19 17:12:58,8.000000,"F3270",2,4
10,123,1,2020-08-21 17:13:16,8.000000,"F3754",2,3
10,123,1,2020-08-27 17:19:00,8.000000,"F3742",1,5
10,123,1,2020-08-28 17:14:23,8.000000,"F4147",1,2
10,123,2,2020-08-23 17:11:15,8.000000,"F2199",1,1
10,123,2,2020-08-23 17:32:40,8.000000,"F2509",1,4
10,123,2,2020-08-26 17:23:40,8.000000,"F4203",1,4
10,123,2,2020-08-29 17:26:36,8.000000,"F3270",1,5
10,128,2,2020-08-13 20:00:36,25.000000,"F0000",2,4
10,130,2,2020-08-13 20:00:36,21.000000,"F0000",1,5
10,130,2,2020-08-15 20:12:45,21.000000,"F0000",1,4
10,135,1,2020-08-13 20:00:36,21.000000,"F0000",3,3
10,154,3,2020-08-14 20:01:54,22.000000,"F3259",1,4
10,156,1,2020-08-17 17:59:47,30.000000,"F2576",1,5
10,159,1,2020-08-11 20:38:51,20.000000,"F0000",1,2
10,160,1,2020-08-28 17:14:23,25.000000,"F4147",3,5
10,161,2,2020-08-16 20:03:48,12.000000,"F0000",1,3
10,168,1,2020-08-27 17:19:00,27.000000,"F3742",2,4
11,2,1,2020-08-18 17:38:24,8.000000,"F4702",1,3
11,2,1,2020-08-20 17:27:20,8.000000,"F3277",1,5
11,2,1,2020-08-21 17:13:32,8.000000,"F2682",1,4
11,2,1,2020-08-22 17:20:23,8.000000,"F2036",1,3
11,12,1,2020-08-12 20:03:36,30.000000,"F0000",1,5
11,107,1,2020-08-27 17:22:30,10.000000,"F0000",1,4
11,107,1,2020-08-29 17:26:43,10.000000,"F3863",3,5
11,123,1,2020-08-19 17:13:03,8.000000,"F3054",1,4
11,123,1,2020-08-20 17:27:20,8.000000,"F3277",2,1
11,123,1,2020-08-22 17:20:23,8.000000,"F2036",2,3
11,123,1,2020-08-23 17:35:18,8.000000,"F0000",1,4
11,123,1,2020-08-25 17:39:31,8.000000,"F4586",1,5
11,123,1,2020-08-26 17:23:51,8.000000,"F4048",1,4
11,123,1,2020-08-27 17:22:30,8.000000,"F0000",2,3
11,123,1,2020-08-29 17:26:43,8.000000,"F3863",1,1
11,128,1,2020-08-14 20:01:59,25.000000,"F3259",1,4
